Ref,Val,Package,PosX,PosY,Rot,Side
"R37","10k","R_0805_2012Metric",144.555000,-70.155000,90.000000,top
"R38","0R","R_0603_1608Metric",115.980000,-116.745000,180.000000,top
"R39","0R","R_0603_1608Metric",135.030000,-116.745000,180.000000,top
"R40","100k","R_0805_2012Metric",70.260000,-121.844000,-90.000000,top
"R41","1k","R_0805_2012Metric",96.295000,-78.342500,-90.000000,top
"R42","1k","R_0805_2012Metric",190.275000,-94.901000,180.000000,top
"R43","10k","R_0805_2012Metric",182.655000,-121.765500,-90.000000,top
"R46","10k","R_0805_2012Metric",124.108000,-129.210000,180.000000,top
"R47","10k","R_0805_2012Metric",124.108000,-131.115000,180.000000,top
"R48","10k","R_0805_2012Metric",124.108000,-133.020000,180.000000,top
"R49","330","R_0805_2012Metric",91.850000,-137.338000,90.000000,top
"RV1","10k","Potentiometer_Bourns_3314G_Vertical",150.397000,-133.020000,0.000000,top
"SW1","RIGHT","SW_SPST_EVQQ2",102.010000,-140.545000,0.000000,top
"SW2","LEFT","SW_SPST_EVQQ2",79.150000,-140.545000,0.000000,top
"SW3","BACK","SW_SPST_EVQQ2",124.870000,-140.545000,0.000000,top
"SW4","SELECT","SW_SPST_EVQQ2",147.730000,-140.545000,0.000000,top
"U1","ACS712-30A","SOIC-8_3.9x4.9mm_P1.27mm",117.250000,-86.265000,-90.000000,top
"U2","B1212","Converter_DCDC_muRata_CRE1xxxxxxSC_THT",122.584000,-96.933000,-90.000000,top
"U3","AMS1117-5.0","SOT-223-3_TabPin2",138.840000,-125.000000,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",93.120000,-125.000000,90.000000,top
"U5","XL7005A","SOIC-8_3.9x4.9mm_P1.27mm",135.095000,-112.300000,-90.000000,top
"U6","XL7005A","SOIC-8_3.9x4.9mm_P1.27mm",115.980000,-112.300000,-90.000000,top
"U7","IR2104","SOIC-8_3.9x4.9mm_P1.27mm",168.050000,-92.380000,0.000000,top
"U8","ESP32-WROOM-32","ESP32-WROOM-32",168.685000,-134.525000,90.000000,top
"U9","CH340C","STC_SOP-16_3.9x9.9mm_P1.27mm",82.960000,-113.570000,-90.000000,top
"U10","ADS1015","TSSOP-10_3x3mm_P0.5mm",130.585000,-90.075000,90.000000,top
"U11","NUP4202","SOT-363_SC-70-6",75.975000,-114.840000,90.000000,top
"U12","PCF8574","SSOP-20_5.3x7.2mm_P0.65mm",118.494600,-129.210000,0.000000,top
